,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
172,SN2008ar,0.026147000000000004,1.1,0.05,Ia-norm,0.0311,0.12,0.0,0.5,1.1,0.1454710773386323,0.081,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,,,,,0.036809854209423065,0.020633732513090308,0.081
173,SN2001ay,0.030244,0.68,0.05,Ia-norm,0.0159,0.0,0.0159,1.9,0.5,0.12707969722495843,0.07200000000000001,https://iopscience.iop.org/article/10.1088/0004-6256/142/3/74/pdf,,,,,0.018898159265518192,0.03273087607742653,0.07200000000000001
174,SN2004ey,0.015786,1.008219619,0.07400000000000001,Ia-norm,0.1191,0.04,0.0,1.6,0.8,-0.00197638636579317,0.0,https://iopscience.iop.org/article/10.1088/0004-637X/704/2/1036,0.006,https://iopscience.iop.org/article/10.3847/1538-4357/ab2a16/pdf,0.019,https://academic.oup.com/mnras/article/480/2/1445/5056728,0.13742774724960327,-0.02389865269920577,0.0
175,SN1994D,0.002058,1.37,0.03,Ia-norm,0.0191,0.0,0.0191,1.1,1.1,0.0982574914849344,0.05,https://adsabs.harvard.edu/pdf/1996MNRAS.278..111P,,,,,0.022214142605662342,-0.021082376447576934,0.05
176,SN2002jg,0.014987,1.42,0.07,Ia-norm,0.0567,0.0,0.0567,1.5,1.0,,,,,,,,0.0663733258843422,,0.0
177,SN2007bm,0.006211,1.09,0.05,Ia-norm,0.0354,0.0,0.0354,1.3,1.1,0.45161030852336165,0.606,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.54,https://academic.oup.com/mnras/article/479/3/3663/5040246,,,0.04103053361177445,0.33101914549364864,0.54
178,SN2000dk,0.017442,1.62,0.05,Ia-norm,0.0589,0.2,0.0,1.1,1.1,0.04389141711147232,0.0,Jiawen,,,,,0.07047591358423233,0.027158058777516203,0.0
179,SN2006cj,0.067517,0.81,0.06,Ia-norm,0.01,0.14,0.0,1.1,1.1,0.02329371626944937,,,,,,,0.011844408698379992,-0.10345107859074076,0.02329371626944937
180,SN2002cs,0.015771,0.99,0.03,Ia-norm,0.0878,0.0,0.0878,1.3,0.5,0.6838727107747925,,,,,,,0.10777175426483154,0.633301342706563,0.6838727107747925
181,SN2004bk,0.023124,1.02,0.07,Ia-norm,0.0218,0.0,0.0218,1.3,1.1,0.1912171061488483,,,,,,,0.025357069447636604,0.05667026775287454,0.1912171061488483
