,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope
96,96,SN1996bk,0.006665000000000001,1.78,0.05,Ia-norm,0.0156,0.0,0.0156,,
97,97,SN2006bu,0.081,0.9083045959000292,0.07,Ia-norm,0.022000000000000002,0.0,0.022000000000000002,0.9,1.3
98,98,SN2007sr,0.005477,0.919,0.07,Ia-norm,0.0398,0.0,0.0398,1.4,1.1
99,99,SN2000bh,0.022809,1.11,0.09,Ia-norm,0.0469,0.0,0.0469,,
100,100,SN2001ex,0.026378,1.56,0.12,Ia-91bg,0.0452,0.0,0.0452,1.7,1.8
101,101,SN2002cr,0.0094,1.19,0.06,Ia-norm,0.0212,0.094,0.0,1.2,1.4
102,102,SN2002dj,0.009393,1.19,0.05,Ia-norm,0.0816,0.0,0.0816,1.6,0.9
103,103,SN1998es,0.010567,0.85,0.04,Ia-99aa-like,0.0277,0.152,0.0,1.1,1.1
104,104,SN2006S,0.032102,0.93,0.04,Ia-99aa-like,0.0139,0.177,0.0,1.1,1.1
105,105,SN2002G,0.033737,1.25,0.04,Ia-norm,0.0105,0.08,0.0,0.4,1.2
106,106,SN2005eq,0.028977,0.88,0.05,Ia-91T,0.0629,0.0,0.0629,1.4,1.0
107,107,SN2003W,0.020071000000000002,1.14,0.04,Ia-norm,0.0392,0.239,0.0,1.5,0.9
108,108,SN2006os,0.032809,1.07098749843709,0.07,Ia-norm,0.1254,0.0,0.1254,1.9,0.2
109,109,SN2008bc,0.015087,0.9424214201211388,0.07400000000000001,Ia-norm,0.2251,0.0,0.2251,1.6,0.3
110,110,SN2006bw,0.030001999999999997,1.28,0.09,Ia-norm,0.0318,0.0,0.0318,1.3,1.1
111,111,SN2007hj,0.014112999999999999,1.95,0.06,Ia-norm,0.0747,0.0,0.0747,1.3,1.1
112,112,SN2006gz,0.02363,0.69,0.04,Ia-supCh,0.0548,0.243,0.0,1.3,1.0
113,113,SN1998eg,0.02476,1.14,0.05,Ia-norm,0.1055,0.202,0.0,,
114,114,SN2000ce,0.016305,1.0,0.08,Ia-norm,0.0473,0.0,0.0473,,
115,115,SN2008af,0.033507,1.33,0.08,Ia-norm,0.0291,0.08,0.0,0.8,1.4
116,116,SN2005bc,0.012272,1.32,0.05,Ia-norm,0.0089,0.0,0.0089,1.1,1.1
117,117,SN2007ai,0.031662,0.8521095169507373,0.07,Ia-91T,0.28600000000000003,0.0,0.28600000000000003,1.5,0.9
118,118,SN2001az,0.040695,1.09,0.06,Ia-norm,0.0424,0.14,0.0,1.5,0.6
119,119,SN2000cu,0.020324000000000002,1.48,0.04,Ia-norm,0.0763,0.0,0.0763,1.1,1.1
120,120,SN2006cm,0.016341,1.04,0.07,Ia-norm,0.0414,0.0,0.0414,1.7,1.5
121,121,SN2001gc,0.01929,1.0679132773095896,0.07400000000000001,Ia-norm,0.1801,0.0,0.1801,,
122,122,SN2013aa,0.003999,0.8,0.0,Ia-norm,0.1458,0.0,0.1458,1.2,1.1
123,123,SN2002dl,0.016250999999999998,1.76,0.05,Ia-norm,0.0668,0.0,0.0668,,
124,124,SN2004eo,0.015701,1.4824250900307518,0.07400000000000001,Ia-norm,0.09300000000000001,0.0,0.09300000000000001,0.4,1.4
125,125,SN1999gh,0.007679000000000002,1.69,0.05,Ia-norm,0.0502,0.069,0.0,1.3,1.6
126,126,SN2006mr,0.005871,1.9163719273424489,0.07400000000000001,Ia-91bg,0.0179,0.0,0.0179,,
127,127,SN2008L,0.0194,1.38,0.06,Ia-norm,0.1357,0.02,0.0,1.2,1.1
128,128,SN2002fb,0.015567,1.77,0.11,Ia-91bg,0.0763,0.229,0.0,1.4,1.6
129,129,SN2003Y,0.016942,1.65,0.08,Ia-91bg,0.0399,0.0,0.0399,1.9,1.9
130,130,SN2005ku,0.045439,1.039873202944137,0.07400000000000001,Ia-norm,0.0461,0.0,0.0461,1.3,0.1
131,131,SN2006br,0.02459,1.12,0.09,Ia-norm,0.0197,0.0,0.0197,0.9,1.3
132,132,SN1999ej,0.013722999999999999,1.48,0.03,Ia-norm,0.0605,0.2,0.0,,
133,133,SN2001V,0.015018,0.82,0.05,Ia-norm,0.0172,0.12,0.0,1.3,1.1
134,134,SN1991bg,0.003392,1.8268286491759564,0.07400000000000001,Ia-91bg,0.0344,0.0,0.0344,1.5,1.4
135,135,SN1991T,0.005790999999999999,0.8985410500085934,0.07400000000000001,Ia-91T,0.0189,0.202,0.0,1.0,1.1
136,136,SN1999bh,0.017205,1.38,0.08,Ia-norm,0.012,0.0,0.012,,
137,137,SN2000cp,0.034204000000000005,1.09,0.09,Ia-norm,0.0421,0.0,0.0421,1.1,1.1
138,138,SN2005bo,0.013896,1.28,0.03,Ia-norm,0.0396,0.2,0.0,1.6,1.3
139,139,SN1986G,0.001825,0.8042135068293546,0.07400000000000001,Ia-norm,0.0985,0.0,0.0985,1.3,1.9
140,140,SN2005cc,0.007572,1.94,0.06,Iax,0.0056,0.0,0.0056,1.3,1.1
141,141,SN2002bo,0.00424,1.08,0.04,Ia-norm,0.0216,0.555,0.0,1.3,0.8
142,142,SN2006hb,0.015344,1.44,0.09,Ia-norm,0.0236,0.16,0.0,1.1,1.1
143,143,SN2008Z,0.02099,1.02,0.05,Ia-99aa-like,0.0099,0.0,0.0099,0.9,1.2
144,144,SN2002ck,0.029863999999999998,1.08,0.09,Ia-norm,0.0847,0.2,0.0,1.0,1.2
145,145,SN2001N,0.021025,1.1069513025502449,0.07,Ia-norm,0.0215,0.0,0.0215,0.9,1.3
146,146,SN2007af,0.005464,1.04,0.05,Ia-norm,0.0338,0.16899999999999998,0.0,1.1,1.1
147,147,SN2005W,0.008889483137030753,1.2295786507887685,0.07400000000000001,Ia-norm,0.0615,0.0,0.0615,,
148,148,SN2002eu,0.037626,1.52,0.08,Ia-norm,0.039,0.0,0.039,1.9,1.1
149,149,SN2014J,0.000677,0.95,,Ia-norm,0.1358,1.19,0.054000000000000006,1.1,1.1
150,150,SN2005ls,0.021118,0.98,0.03,Ia-norm,0.0807,0.0,0.0807,1.1,1.1
151,151,SN2002fk,0.007125,1.13,0.03,Ia-norm,0.0344,0.0,0.0344,1.3,1.0
152,152,SN2005ki,0.019207,1.41,0.07,Ia-norm,0.0267,0.0,0.0267,1.9,0.9
153,153,SN2006oa,0.06,0.89,0.07,Ia-norm,0.0352,0.0,0.0352,,
154,154,SN2003hu,0.075,0.9219257863228696,0.07,Ia-norm,0.052000000000000005,0.0,0.052000000000000005,,
155,155,SN1998V,0.017586,0.99,0.06,Ia-norm,0.17,0.28600000000000003,0.0,,
156,156,SN2005lz,0.044341000000000005,1.34,0.08,Ia-norm,0.077,0.2,0.0,1.9,0.7
157,157,SN2005hf,0.04311,1.31,0.07,Ia-norm,0.0475,0.2,0.0,0.6,1.3
158,158,SN2005ew,0.003,0.8719093013381995,0.07400000000000001,Ia-99aa-like,0.4283,0.0,0.4283,1.6,0.9
159,159,SN2005bl,0.024059999999999998,1.93,0.1,Ia-91bg,0.0251,0.198,0.0,1.9,1.1
160,160,SN1999ef,0.039137,1.06,0.05,Ia-norm,0.0728,0.0,0.0728,,
161,161,SN1999aa,0.014443000000000001,0.78,0.02,Ia-99aa-like,0.0342,0.05,0.0,1.4,1.3
162,162,SN2001ep,0.013129,1.3,0.06,Ia-norm,0.0388,0.198,0.0,1.1,1.1
163,163,SN1997dt,0.007318000000000002,1.04,0.15,Ia-norm,0.0484,0.0,0.0484,,
164,164,SN2001bf,0.015501,0.99,0.06,Ia-norm,0.0845,0.0,0.0845,1.2,1.0
165,165,SN2008gp,0.033413,1.0646065400190727,0.07400000000000001,Ia-norm,0.1042,0.18,0.0,1.0,0.3
166,166,SN2006cq,0.048337,0.9388348054120574,0.07,Ia-norm,0.0129,0.0,0.0,1.3,0.9
167,167,SN1997cw,0.0171,0.9792529048733494,0.07400000000000001,Ia-norm,0.0629,0.0,0.0629,,
168,168,SN2006lf,0.013206,1.3,0.06,Ia-norm,0.8161,1.029,0.0,1.4,0.8
169,169,SN2003it,0.025091,1.36,0.09,Ia-norm,0.06,0.118,0.0,,
170,170,SN2005hj,0.057,0.8704156019953309,0.07,Ia-norm,0.0329,0.2,0.0,,
171,171,SN2006H,0.013993,1.83,0.05,Ia-91bg,0.1774,0.376,0.0,1.4,1.1
172,172,SN2008ar,0.026147000000000004,1.1,0.05,Ia-norm,0.0311,0.12,0.0,0.5,1.1
173,173,SN2001ay,0.030244,0.68,0.05,Ia-norm,0.0159,0.0,0.0159,1.9,0.5
174,174,SN2004ey,0.015786,1.0082196193559076,0.07400000000000001,Ia-norm,0.1191,0.04,0.0,1.6,0.8
175,175,SN1994D,0.002058,1.37,0.03,Ia-norm,0.0191,0.0,0.0191,1.1,1.1
176,176,SN2002jg,0.014987,1.42,0.07,Ia-norm,0.0567,0.0,0.0567,1.5,1.0
177,177,SN2007bm,0.006211,1.09,0.05,Ia-norm,0.0354,0.0,0.0354,1.3,1.1
178,178,SN2000dk,0.017442,1.62,0.05,Ia-norm,0.0589,0.2,0.0,1.1,1.1
179,179,SN2006cj,0.067517,0.81,0.06,Ia-norm,0.01,0.14,0.0,1.1,1.1
180,180,SN2002cs,0.015771,0.99,0.03,Ia-norm,0.0878,0.0,0.0878,1.3,0.5
181,181,SN2004bk,0.023124000000000002,1.02,0.07,Ia-norm,0.0218,0.0,0.0218,1.3,1.1
182,182,SN2008ia,0.021942,1.2136053436463985,0.07400000000000001,Ia-norm,0.1954,0.0,0.1954,1.4,1.1
183,183,SN2007nq,0.045031,1.47,0.05,Ia-norm,0.0312,0.2,0.0,0.5,1.1
184,184,SN2002he,0.024564,1.44,0.06,Ia-norm,0.0341,0.0,0.0341,1.0,1.2
185,185,SN2008C,0.017,1.11,0.05,Ia-norm,0.07200000000000001,0.2,0.0,1.8,0.7
186,186,SN2002dp,0.011639,1.12,0.04,Ia-norm,0.0422,0.0,0.0,1.3,1.1
187,187,SN2005ag,0.079665,1.0465189775571155,0.07400000000000001,Ia-norm,0.0331,0.0,0.0331,0.3,0.7
188,188,SN2001eh,0.037036,0.92,0.06,Ia-99aa-like,0.0538,0.08199999999999999,0.0,1.0,1.3
189,189,SN2008hv,0.012549,1.1336901726437731,0.07400000000000001,Ia-norm,0.0279,0.0,0.0,1.9,0.7
190,190,SN2003ic,0.055672,1.3068653534087535,0.07,Ia-norm,0.0322,0.2,0.0,,
191,191,SN1998co,0.018072,1.4342189223320252,0.07,Ia-norm,0.0363,0.0,0.0363,,
192,192,SN2005na,0.026322,1.09,0.06,Ia-norm,0.0681,0.0,0.0,1.3,1.2
193,193,SN2003gn,0.03445,1.22,0.04,Ia-norm,0.042,0.0,0.042,1.5,0.6
194,194,SN1997br,0.005961,1.09,0.06,Ia-91T,0.0967,0.0,0.0967,,
195,195,SN2005hk,0.012993000000000001,1.56,0.09,Iax,0.0193,0.112,0.0,0.3,1.9
