,Unnamed: 0,ObjName,Redshift,DM15,DM15err,Subtype,EBV,EBVhost,EBVmw,pivot,slope,EBVhostNew,EBVPaper1,Source1,EBVPaper2,Source2,EBVPaper3,Source3,EBVmwSFD,maxBV,EBVfinal
59,59,SN1994Q,0.029564,1.03,0.1,Ia-norm,0.0145,0.0,0.0,1.9,0.5,0.1430900483631314,,,,,,,0.017404705286026,0.0001805279099684,0.1430900483631314
60,60,SN2006fw,0.0835,1.287744372,0.074,Ia-norm,0.028,0.0,0.028,0.7,1.5,0.3282191228143437,0.262,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,,,,,0.0326883755624294,0.2089867570544648,0.262
61,61,SN1996bv,0.016672,0.92,0.08,Ia-norm,0.0895,0.0,0.0895,,,,,,,,,,0.1051018759608268,,0.0
62,62,SN2003D,0.022109,1.7723828430000002,0.07,Ia-norm,0.05,0.0,0.05,0.9,1.2,0.0,,,,,,,0.0652281641960144,0.1098745726596028,0.0
63,63,SN2002bz,0.037152,1.310568878,0.066,Ia-norm,0.0167,0.0,0.0,,,,,,,,,,0.0188900642096996,,0.0
64,64,SN2006cs,0.023676,1.93525798,0.074,Ia-91bg,0.01,0.0,0.01,,,,,,,,,,0.0118416817858815,,0.0
65,65,SN1999ac,0.0095,1.23,0.03,Ia-norm,0.0385,0.186,0.0,0.5,1.4,0.134473814576822,0.06,Jiawen,,,,,0.0459911376237869,0.0234890844911284,0.06
66,66,SN2006et,0.022639,1.02,0.05,Ia-norm,0.0165,0.16,0.0,1.0,1.0,0.3104376947742122,0.254,https://iopscience.iop.org/article/10.1088/0004-637X/789/1/32/pdf,0.254,https://academic.oup.com/mnras/article/480/2/1445/5056728,,,0.0191675461828708,0.1697013331134726,0.254
67,67,SN2002cu,0.023323,1.35,0.03,Ia-norm,0.0535,0.0,0.0535,,,,,,,,,,0.0625926628708839,,0.0
68,68,SN2002hd,0.030835,1.16,0.11,Ia-norm,0.0321,0.0,0.0321,1.9,0.7,0.0142961548601931,,,,,,,0.0380196012556552,-0.1083299681243765,0.0142961548601931
69,69,SN2002hu,0.03,1.05,0.03,Ia-99aa-like,0.0382,0.0,0.0382,1.9,0.6,0.063310366048271,0.02,https://academic.oup.com/mnras/article/366/2/682/1217567,,,,,0.0446379631757736,-0.0530216142440096,0.02
